env,series_id,n_train,mu,sd,max_abs_z_khop,bien_samuelson
E1,E1_1167,1612,0.93159636062861872,0.21391619184334043,209.43593183219554,40.124813025700128
E1,E1_703,1612,1.0945143566111306,0.25303359992124308,84.463693030125782,40.124813025700128
E2,E2_2013-8_402,1608,1.1094320066334991,0.45162750992190659,64.855588620877626,40.07493757812415
E3,E3_m_128,1383,0.00041139950632059245,0.0039011796464640549,21181.521852940998,37.161818080737106
E3,E3_m_1463,1368,0.00039070377092155679,0.0038124584113189428,11226.249490134713,36.959447114292068
E3,E3_m_1668,1366,0.01231286652665458,0.1915138595659443,425.4923759468935,36.932380536115211
E3,E3_m_1998,1480,0.0003015299782541162,0.0032107283483463352,13382.124077491004,38.444774361097188
E3,E3_m_2958,1417,0.00094257740572198032,0.026707349882571989,3231.2849384921242,37.616495128019331
E3,E3_m_3532,1382,0.36837599097994633,1.0124928106681241,83.883681063350309,37.148360981192717
E3,E3_m_618,1390,0.00041015463491275944,0.0040986175337136867,20746.732887186856,37.25588167557521
E3,E3_m_784,1356,0.0045661258603736481,0.068788039946543533,720.98919976032414,36.796749006714265
E3,E3_m_924,1354,0.0040543839396910896,0.064077924554394178,1200.5582185186142,36.769562664688266
E3,E3_m_94,1341,0.00025034622350058596,0.0028899549911898079,30196.462085561816,36.592359116517137
E1a,E1_703,1612,1.0945143566111306,0.25303359992124308,84.463693030125782,40.124813025700128
